Bearing Type,Fan RPM,Height,Kind,Link,Liquid Cooled,Manufacturer,Model,Name,Noise Level,Part #,Prices,Radiator Size,Supported Sockets,avg,short_link,noise_level,max_noise,min_noise,rpm,rpm_min,rpm_max,liquid,rad_size,bearing_type,cooler_height
,500 - 2000 RPM,,CPU Cooler,/product/xn8H99/nzxt-kraken-x52-liquid-cpu-cooler-rl-krx52-01,Yes,NZXT,Kraken X52,NZXT Kraken X52 Liquid CPU Cooler,21.0 - 36.0 dbA,RL-KRX52-01,"[149.98, 149.99, 149.99]",240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",149.986666667,nzxt-kraken-x52-liquid-cpu-cooler-rl-krx52-01,21.0 - 36.0 ,36.0,21.0,500 - 2000 ,500.0,2000.0,Yes,240.0,,0.0
,,"6.26"" (159mm)",CPU Cooler,/product/sc9KHx/prolimatech-cpu-cooler-promghbk,No,Prolimatech,Megahalems (No Fans),Prolimatech Megahalems (No Fans) Fanless CPU Cooler,,PRO-MGH-BK,[69.97],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",69.97,prolimatech-cpu-cooler-promghbk,0,0,0.0,0,0.0,0.0,No,0.0,,159.0
,600 - 2200 RPM,,CPU Cooler,/product/GV38TW/deepcool-cpu-cooler-captain240,Yes,Deepcool,,Deepcool CAPTAIN 240 91.1 CFM Liquid CPU Cooler,17.6 - 39.3 dbA,CAPTAIN 240,[],240mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",0.0,deepcool-cpu-cooler-captain240,17.6 - 39.3 ,39.3,17.6,600 - 2200 ,600.0,2200.0,Yes,240.0,,0.0
,800 - 1800 RPM,"5.12"" (130mm)",CPU Cooler,/product/BWqdnQ/intel-cpu-cooler-bxxts100h,No,Intel,,Intel BXXTS100H CPU Cooler,20.0 - 35.0 dbA,BXXTS100H,[],,"LGA1150, LGA1151, LGA1155, LGA1156",0.0,intel-cpu-cooler-bxxts100h,20.0 - 35.0 ,35.0,20.0,800 - 1800 ,800.0,1800.0,No,0.0,,130.0
,500 - 1800 RPM,"2.91"" (74mm)",CPU Cooler,/product/8t648d/phanteks-cpu-cooler-phtc12lsbk,No,Phanteks,,Phanteks PH-TC12LS_BK 53.3 CFM CPU Cooler,25.0 dbA,PH-TC12LS_BK<br/>(or) PH-TC12LS,"[39.99, 39.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",39.99,phanteks-cpu-cooler-phtc12lsbk,25.0 ,25.0 ,25.0,500 - 1800 ,500.0,1800.0,No,0.0,,74.0
Rifle,1600 RPM,"6.30"" (160mm)",CPU Cooler,/product/C7mLrH/be-quiet-cpu-cooler-bk013,No,be quiet!,Shadow Rock 2,be quiet! Shadow Rock 2 51.4 CFM Rifle Bearing CPU Cooler,15.3 - 25.4 dbA,BK013,"[46.99, 49.9, 47.9]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",48.2633333333,be-quiet-cpu-cooler-bk013,15.3 - 25.4 ,25.4,15.3,1600 ,1600.0,1600.0,No,0.0,Rifle,160.0
,500 - 1350 RPM,,CPU Cooler,/product/wxcMnQ/arctic-cooling-cpu-cooler-acfre00016a,Yes,ARCTIC,Liquid Freezer 120,ARCTIC Liquid Freezer 120 74.0 CFM Liquid CPU Cooler,,ACFRE00016A,"[60.88, 60.99, 66.66, 67.76, 63.19]",120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",63.896,arctic-cooling-cpu-cooler-acfre00016a,0,0,0.0,500 - 1350 ,500.0,1350.0,Yes,120.0,,0.0
,500 - 2000 RPM,"5.12"" (130mm)",CPU Cooler,/product/T9rcCJ/arctic-cpu-cooler-ucacofi11101csa01,No,ARCTIC,Freezer i11 CO,ARCTIC Freezer i11 CO 74.0 CFM CPU Cooler,,UCACO-FI11101-CSA01,"[19.84, 38.99]",,"LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",29.415,arctic-cpu-cooler-ucacofi11101csa01,0,0,0.0,500 - 2000 ,500.0,2000.0,No,0.0,,130.0
,1600 RPM,"2.48"" (63mm)",CPU Cooler,/product/6H2rxr/id-cooling-cpu-cooler-dk03,No,ID-COOLING,,ID-COOLING DK-03 58.4 CFM CPU Cooler,26.4 dbA,DK-03,[],,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",0.0,id-cooling-cpu-cooler-dk03,26.4 ,26.4 ,26.4,1600 ,1600.0,1600.0,No,0.0,,63.0
,400 - 1400 RPM,"6.30"" (160mm)",CPU Cooler,/product/7998TW/scythe-cpu-cooler-scktt1000,No,Scythe,Kotetsu,Scythe Kotetsu 79.0 CFM CPU Cooler,5.3 - 28.0 dbA,SCKTT-1000,"[39.49, 39.69, 39.95]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",39.71,scythe-cpu-cooler-scktt1000,5.3 - 28.0 ,28.0,5.3,400 - 1400 ,400.0,1400.0,No,0.0,,160.0
Rifle,400 - 1400 RPM,"6.34"" (161mm)",CPU Cooler,/product/Zr2kcf/be-quiet-cpu-cooler-bk010,No,be quiet!,Shadow Rock Slim,be quiet! Shadow Rock Slim 67.8 CFM Rifle Bearing CPU Cooler,11.5 - 23.7 dbA,BK010,"[44.65, 44.79, 49.9, 49.9]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",47.31,be-quiet-cpu-cooler-bk010,11.5 - 23.7 ,23.7,11.5,400 - 1400 ,400.0,1400.0,No,0.0,Rifle,161.0
Rifle,600 - 1600 RPM,"6.30"" (160mm)",CPU Cooler,/product/YdJkcf/cooler-master-hyper-212-led-663-cfm-rifle-bearing-cpu-cooler-rr-212l-16pr-r1,No,Cooler Master,Hyper 212 LED,Cooler Master Hyper 212 LED 66.3 CFM Rifle Bearing CPU Cooler,9.0 - 31.0 dbA,RR-212L-16PR-R1,"[39.88, 32.99, 34.89, 34.89, 31.99, 34.99, 34.89, 53.98, 54.8]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",39.2555555556,cooler-master-hyper-212-led-663-cfm-rifle-bearing-cpu-cooler-rr-212l-16pr-r1,9.0 - 31.0 ,31.0,9.0,600 - 1600 ,600.0,1600.0,No,0.0,Rifle,160.0
