Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,80+ Platinum,1,Power Supply,/product/C8rcCJ/enermax-power-supply-epm500awt,Enermax,,Semi,Enermax Platimax 500W 80+ Platinum Certified Semi-Modular BTX Power Supply,,2,,,EPM500AWT,[],ATX / BTX,500 Watts,0.0,enermax-power-supply-epm500awt,500.0,5.0,0.0
,,1,Power Supply,/product/YCh9TW/sunbeam-power-supply-psubks480us,Sunbeam,,No,Sunbeam 480W ATX Power Supply,"+3.3V@28A, +5V@34A, +12V@18A, -12V@0.8A, +5VSB@2A",,,,PSU-BKS-480-US,[],ATX12V,480 Watts,0.0,sunbeam-power-supply-psubks480us,480.0,,0.0
,80+ Bronze,1,Power Supply,/product/GztCmG/thermaltake-power-supply-sp650m,Thermaltake,,Semi,Thermaltake 650W 80+ Bronze Certified Semi-Modular ATX Power Supply,,2,,2,SP-650M,"[84.98, 73.43, 90.0, 86.99]",ATX12V / EPS12V,650 Watts,83.85,thermaltake-power-supply-sp650m,650.0,2.0,0.129
,80+ Bronze,1,Power Supply,/product/Xrzv6h/silverstone-power-supply-st70fesb,Silverstone,,No,Silverstone Strider Essential 700W 80+ Bronze Certified ATX Power Supply,,,1,,ST70F-ESB<br/>(or) SST-ST70F-ESB,"[74.0, 69.99, 69.99, 82.92]",ATX12V / EPS12V,700 Watts,74.225,silverstone-power-supply-st70fesb,700.0,2.0,0.106035714286
&gt; 92%,80+ Platinum,1,Power Supply,/product/fdZQzy/fsp-group-power-supply-pt650m,FSP Group,,Semi,FSP Group AURUM 92+ 650W 80+ Platinum Certified Semi-Modular ATX Power Supply,16A @ +3.3V DC&lt;br/&gt;18A @ +5V DC&lt;br/&gt;18A @ +12V1 DC&lt;br/&gt;18A @ +12V2 DC&lt;br/&gt;18A @ +12V3 DC&lt;br/&gt;18A @ +12V4 DC&lt;br/&gt;0.3A @ -12V DC&lt;br/&gt;3.0A @ +5Vsb DC Standby,2,,,PT-650M,"[119.99, 139.99]",ATX12V / EPS12V,650 Watts,129.99,fsp-group-power-supply-pt650m,650.0,5.0,0.199984615385
89-94%,80+ Platinum,1,Power Supply,/product/8P4gXL/enermax-power-supply-epm1000ewt,Enermax,,Semi,Enermax 1000W 80+ Platinum Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@83A, -12V@0.5A, +5VSB@3A",6,,,EPM1000EWT,"[179.0, 204.99, 207.99]",ATX12V / EPS12V,1000 Watts,197.326666667,enermax-power-supply-epm1000ewt,1000.0,5.0,0.197326666667
,80+ Silver,1,Power Supply,/product/rjV48d/zalman-power-supply-1000hpplus,Zalman,,Full,Zalman 1000W 80+ Silver Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@30A, +12V1@28A, +12V2@25A, +12V3@35A, +12V4@28A, -12V@0.5A, +5VSB@3.5A",3,3,,1000-HP Plus,"[141.99, 267.99]",ATX12V / EPS12V,1000 Watts,204.99,zalman-power-supply-1000hpplus,1000.0,3.0,0.20499
&gt; 85%,80+ Gold,1,Power Supply,/product/pq4NnQ/rosewill-power-supply-capstoneg1200,Rosewill,,Semi,Rosewill 1200W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A,+5V@25A,+12V@100A,-12V@0.3A,+5VSB@3.5A",8,,,Capstone G1200,"[109.99, 112.99, 109.99]",ATX12V / EPS12V,1200 Watts,110.99,rosewill-power-supply-capstoneg1200,1200.0,4.0,0.0924916666667
&lt; 85%,80+ Bronze,1,Power Supply,/product/D3YXsY/xfx-power-supply-p1850snlb9,XFX,,No,XFX 850W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.5A, +5VSB@3.0A",2,2,,P1850SNLB9,[98.99],ATX12V / EPS12V,850 Watts,98.99,xfx-power-supply-p1850snlb9,850.0,2.0,0.116458823529
,80+ Platinum,1,Power Supply,/product/Ns6BD3/super-flower-power-supply-sf1000f14mpblack,Super Flower,SF-1000F14MP Black,Full,Super Flower Leadex Platinum 1000W 80+ Platinum Certified Fully-Modular ATX Power Supply,+3.3V@20A ; +5V@20.0A ; +12V@83.3A ; -12V@0.5A ; +5Vsb@2.5A,4,1,,SF-1000F14MP black,[],ATX12V / EPS12V,1000 Watts,0.0,super-flower-power-supply-sf1000f14mpblack,1000.0,5.0,0.0
