Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,,1,Power Supply,/product/8Hx9TW/solid-gear-power-supply-sdgr750e,Solid Gear,,Semi,Solid Gear 750W Semi-Modular ATX Power Supply,,1,1,,SDGR-750E,"[46.99, 49.8, 62.98, 54.77]",ATX,750 Watts,53.635,solid-gear-power-supply-sdgr750e,750.0,,0.0715133333333
,80+ Silver,1,Power Supply,/product/mY98TW/be-quiet-power-supply-bn266,be quiet!,,Semi,be quiet! PURE POWER 9 400W 80+ Silver Certified Semi-Modular ATX Power Supply,,2,,,BN266,[],ATX,400 Watts,0.0,be-quiet-power-supply-bn266,400.0,3.0,0.0
&gt; 82%,80+ Bronze,1,Power Supply,/product/GgW9TW/seasonic-power-supply-ss300tfxbronze,SeaSonic,,No,SeaSonic 300W 80+ Bronze Certified TFX Power Supply,,,,,SS-300TFX Bronze,[35.99],TFX12V,300 Watts,35.99,seasonic-power-supply-ss300tfxbronze,300.0,2.0,0.119966666667
,80+ Gold,1,Power Supply,/product/RhgPxr/be-quiet-power-supply-bn235,be quiet!,,Semi,be quiet! STRAIGHT POWER 10 CM 600W 80+ Gold Certified Semi-Modular ATX Power Supply,,4,,,BN235,[],ATX,600 Watts,0.0,be-quiet-power-supply-bn235,600.0,4.0,0.0
,,1,Power Supply,/product/gWQypg/logisys-power-supply-ps550e12,Logisys,,No,Logisys 550W ATX Power Supply,"+3.3V@30A, +5V@38A, +12V@25A, -12V@0.8A, +5VSB@2.0A",,,,PS550E12,"[19.89, 19.99, 23.99, 42.12]",ATX12V,550 Watts,26.4975,logisys-power-supply-ps550e12,550.0,,0.0481772727273
,80+ Bronze,1,Power Supply,/product/Tk648d/seasonic-power-supply-ss430st,SeaSonic,,No,SeaSonic ECO 430W 80+ Bronze Certified ATX Power Supply,,1,,,SS-430ST,[],ATX,430 Watts,0.0,seasonic-power-supply-ss430st,430.0,2.0,0.0
&gt; 85%,80+ Bronze,1,Power Supply,/product/BBmxFT/rosewill-power-supply-glacier850m,Rosewill,,Semi,Rosewill 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@20A,+5V@20A,+12V@70A,-12V@0.5A,+5VSB@3A",4,,,Glacier 850M,"[69.99, 69.99, 69.99]",ATX12V / EPS12V,850 Watts,69.99,rosewill-power-supply-glacier850m,850.0,2.0,0.0823411764706
&lt; 80%,80+,1,Power Supply,/product/XZMFf7/coolmax-power-supply-zx500,CoolMax,,No,CoolMax 500W 80+ Certified ATX Power Supply,"+5V@20A, +3.3V@25A, +12V@34A, -12V@0.8A, +5VSB@3A",1,1,,ZX-500,"[38.99, 39.99, 48.93, 41.35, 51.99]",ATX12V / EPS12V,500 Watts,44.25,coolmax-power-supply-zx500,500.0,1.0,0.0885
&lt; 85%,80+ Bronze,1,Power Supply,/product/cvXfrH/corsair-power-supply-cx430m,Corsair,,Semi,Corsair CX 430W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@32A, -12V@0.8A, +5VSB@3A",1,,,CX430M<br/>(or) CMPSU-430CXM<br/>(or) CP-9020058-AU<br/>(or) CP-9020058-UK<br/>(or) CP-9020058-NA<br/>(or) CP-9020058-US,"[69.88, 69.99, 79.82]",ATX12V,430 Watts,73.23,corsair-power-supply-cx430m,430.0,2.0,0.170302325581
,80+ Platinum,1,Power Supply,/product/mgwqqs/be-quiet-power-supply-bn255,be quiet!,,Semi,be quiet! DARK POWER PRO 11 1200W 80+ Platinum Certified Semi-Modular ATX Power Supply,,8,1,,BN255,[],ATX,1200 Watts,0.0,be-quiet-power-supply-bn255,1200.0,5.0,0.0
"Up to 90% efficiency at 115Vac, 50% load",80+ Gold,1,Power Supply,/product/D2XfrH/seasonic-power-supply-ssp550rt,SeaSonic,,No,SeaSonic 550W 80+ Gold Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V1@45A, +12V2@45A, -12V@0.3A, +5VSB@2.5A",2,,,SSP-550RT,[],ATX12V,550 Watts,0.0,seasonic-power-supply-ssp550rt,550.0,4.0,0.0
,80+ Gold,1,Power Supply,/product/Hk98TW/seasonic-power-supply-ss1250xm,SeaSonic,SS-1250XM2,Full,SeaSonic X Series 1250W 80+ Gold Certified Fully-Modular ATX Power Supply,,10,,,SS-1250XM,"[189.99, 206.25, 218.5]",ATX,1250 Watts,204.913333333,seasonic-power-supply-ss1250xm,1250.0,4.0,0.163930666667
,80+ Gold,1,Power Supply,/product/9PnG3C/be-quiet-power-supply-bn234,be quiet!,,Semi,be quiet! STRAIGHT POWER 10 CM 500W 80+ Gold Certified Semi-Modular ATX Power Supply,,2,,,BN234,[],ATX,500 Watts,0.0,be-quiet-power-supply-bn234,500.0,4.0,0.0
&gt; 87%,80+ Gold,1,Power Supply,/product/Cnzv6h/seasonic-power-supply-ss300tgw,SeaSonic,,No,SeaSonic 300W 80+ Gold Certified TFX Power Supply,"+3.3V@10A, +5V@14A, +12V1@18A, +12V2@18A, -12V@0.3A, +5VSB@2A",,,,SS-300TGW,[39.99],TFX12V,300 Watts,39.99,seasonic-power-supply-ss300tgw,300.0,4.0,0.1333
87%~90% @ 20% ~ 100% loading,80+ Gold,1,Power Supply,/product/zD6BD3/silverstone-power-supply-st50fesg,Silverstone,,No,Silverstone 500W 80+ Gold Certified ATX Power Supply,,1,,,ST50F-ESG<br/>(or) SST-ST50F-ESG,[98.78],ATX,500 Watts,98.78,silverstone-power-supply-st50fesg,500.0,4.0,0.19756
,80+ Platinum,1,Power Supply,/product/RmGj4D/thermaltake-power-supply-pstpg1050fpcpusp,Thermaltake,,Full,Thermaltake Toughpower Grand 1050W 80+ Platinum Certified Fully-Modular ATX Power Supply,,8,,,PS-TPG-1050FPCPUS-P,"[189.99, 189.99, 199.99]",ATX12V / EPS12V,1050 Watts,193.323333333,thermaltake-power-supply-pstpg1050fpcpusp,1050.0,5.0,0.184117460317
,80+ Bronze,1,Power Supply,/product/Bn3RsY/seasonic-power-supply-ss850am2,SeaSonic,,Full,SeaSonic EVO Edition 850W 80+ Bronze Certified Fully-Modular ATX Power Supply,,2,,,SS-850AM2,"[103.99, 124.06, 129.44]",ATX,850 Watts,119.163333333,seasonic-power-supply-ss850am2,850.0,2.0,0.140192156863
,80+ Gold,1,Power Supply,/product/qxcMnQ/fsp-group-power-supply-hg750,FSP Group,,Full,FSP Group Hydro G 750W 80+ Gold Certified Fully-Modular ATX Power Supply,,4,,,HG750,"[104.99, 119.99]",ATX12V / EPS12V,750 Watts,112.49,fsp-group-power-supply-hg750,750.0,4.0,0.149986666667
87-92% efficiency @ 20-100% load,80+ Gold,1,Power Supply,/product/fysKHx/thermaltake-power-supply-pstpg0850mpcgus1,Thermaltake,,Full,Thermaltake 850W 80+ Gold Certified Fully-Modular ATX Power Supply,,6,,,PS-TPG-0850MPCGUS-1,"[131.49, 144.99, 144.99]",ATX12V / EPS12V,850 Watts,140.49,thermaltake-power-supply-pstpg0850mpcgus1,850.0,4.0,0.165282352941
,80+ Gold,1,Power Supply,/product/DD2rxr/corsair-power-supply-cp9020083na,Corsair,RM850i,Full,Corsair 850W 80+ Gold Certified Fully-Modular ATX Power Supply,,6,,,CP-9020083-NA<br/>(or) CP-9020083-EU<br/>(or) RM850i<br/>(or) CP-9020083-UK,"[149.99, 169.99, 159.99]",ATX,850 Watts,159.99,corsair-power-supply-cp9020083na,850.0,4.0,0.188223529412
,80+ Bronze,1,Power Supply,/product/N86BD3/be-quiet-power-supply-bn224,be quiet!,PURE POWER L8 600W,No,be quiet! 600W 80+ Bronze Certified ATX Power Supply,,4,,,BN224,[],ATX12V / EPS12V,600 Watts,0.0,be-quiet-power-supply-bn224,600.0,2.0,0.0
"&gt; 82%, Up to 87%",80+ Bronze,1,Power Supply,/product/wf7CmG/rosewill-power-supply-hive850s,Rosewill,,Semi,Rosewill HIVE 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,,4,,,HIVE-850S,"[74.99, 84.99]",ATX12V / EPS12V,850 Watts,79.99,rosewill-power-supply-hive850s,850.0,2.0,0.0941058823529
90% @ Typical Load,80+ Gold,1,Power Supply,/product/2pqdnQ/cooler-master-power-supply-rs750amaag1,Cooler Master,,Semi,Cooler Master VSM 750W 80+ Gold Certified Semi-Modular ATX Power Supply,+3.3V@25A&lt;br/&gt;+5V@22A&lt;br/&gt;+12V@62A&lt;br/&gt;-12V@0.3A&lt;br/&gt;+5Vsb@2.5A,4,,,RS-750-AMAA-G1,[],ATX,750 Watts,0.0,cooler-master-power-supply-rs750amaag1,750.0,4.0,0.0
,80+,1,Power Supply,/product/DdnG3C/thermaltake-power-supply-w0393re,Thermaltake,,No,Thermaltake Berlin 630W 80+ Certified ATX Power Supply,,2,,,W0393RE,[],ATX,630 Watts,0.0,thermaltake-power-supply-w0393re,630.0,1.0,0.0
87-92% efficiency @ 20-100% load,80+ Gold,1,Power Supply,/product/ss6BD3/thermaltake-power-supply-pstpd1200mpcgus1,Thermaltake,,Semi,Thermaltake 1200W 80+ Gold Certified Semi-Modular ATX Power Supply,,8,,,PS-TPD-1200MPCGUS-1,"[162.01, 169.95, 169.95, 179.99, 188.99]",ATX12V / EPS12V,1200 Watts,174.178,thermaltake-power-supply-pstpd1200mpcgus1,1200.0,4.0,0.145148333333
&lt; 89%,80+ Bronze,1,Power Supply,/product/btGkcf/cougar-power-supply-cougara760,Cougar,,No,Cougar 760W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@3.0A",2,2,,COUGAR-A760,[66.99],ATX12V,760 Watts,66.99,cougar-power-supply-cougara760,760.0,2.0,0.0881447368421
,80+ Bronze,1,Power Supply,/product/grH48d/corsair-power-supply-cmpsu430cxv3,Corsair,CX-430 V3,No,Corsair 430W 80+ Bronze Certified ATX Power Supply,,1,,,CMPSU-430CXv3,[],ATX,430 Watts,0.0,corsair-power-supply-cmpsu430cxv3,430.0,2.0,0.0
80%,80+,1,Power Supply,/product/pqzv6h/fsp-group-power-supply-fsp22060le80,FSP Group,,No,FSP Group 220W 80+ Certified Mini ITX Power Supply,"+3.3V@14A, +5V@16A, +12V1@16A, +12V2@10A, -12V@0.8A, +5VSB@2.5A",,,,FSP220-60LE(80),"[42.99, 53.25, 59.13, 52.99]",Mini ITX,220 Watts,52.09,fsp-group-power-supply-fsp22060le80,220.0,1.0,0.236772727273
,80+ Bronze,1,Power Supply,/product/b9h9TW/cougar-power-supply-cmx700v3,Cougar,,Semi,Cougar 700W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@26A, -12V@0.3A, +5Vsb@3A",4,,,CMX700V3,[79.99],ATX12V / EPS12V,700 Watts,79.99,cougar-power-supply-cmx700v3,700.0,2.0,0.114271428571
&gt; 80%,80+ Bronze,1,Power Supply,/product/ZDH323/antec-power-supply-neoeco520c,Antec,,No,Antec Neo Eco 520W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@40A, -12V@0.8A, +5VSB@2.5A",1,1,,NEO ECO 520C,[],ATX12V / EPS12V,520 Watts,0.0,antec-power-supply-neoeco520c,520.0,2.0,0.0
90% Typ.,80+ Gold,1,Power Supply,/product/8LMFf7/evga-power-supply-120g21300xr,EVGA,SuperNOVA 1300,Full,EVGA SuperNOVA 1300 G2 1300W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@108.3A, +5VSB@3A, -12V@0.5A",6,,,120-G2-1300-XR,"[184.94, 184.94, 187.99, 195.0, 199.99, 205.99, 212.99]",ATX12V / EPS12V,1300 Watts,195.977142857,evga-power-supply-120g21300xr,1300.0,4.0,0.150751648352
85-88%,80+ Silver,1,Power Supply,/product/BpsKHx/silverstone-power-supply-st75fp,Silverstone,,Full,Silverstone Strider Plus 750W 80+ Silver Certified Fully-Modular ATX Power Supply,,4,,,ST75F-P<br/>(or) SST-ST75F-P,"[132.0, 139.99, 139.99]",ATX12V / EPS12V,750 Watts,137.326666667,silverstone-power-supply-st75fp,750.0,3.0,0.183102222222
&lt; 80%,80+,1,Power Supply,/product/dfW9TW/coolmax-power-supply-zx600,CoolMax,,No,CoolMax 600W 80+ Certified ATX Power Supply,"+5V@25A, +3.3V@25A, +12V@40A, -12V@0.8A, +5VSB@3A",1,1,,ZX-600,"[43.99, 45.99, 50.35, 54.37, 50.35]",ATX12V / EPS12V,600 Watts,49.01,coolmax-power-supply-zx600,600.0,1.0,0.0816833333333
,80+ Titanium,1,Power Supply,/product/Wd98TW/thermaltake-power-supply-pstpg1250dpctxxt,Thermaltake,,Full,Thermaltake Toughpower DPS G RGB 1250W 80+ Titanium Certified Fully-Modular ATX Power Supply,,8,,,PS-TPG-1250DPCTXX-T,[],ATX,1250 Watts,0.0,thermaltake-power-supply-pstpg1250dpctxxt,1250.0,6.0,0.0
&lt; 88%,80+ Bronze,1,Power Supply,/product/HTLypg/thermaltake-power-supply-sp750m,Thermaltake,,Semi,Thermaltake Smart M 750W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A",4,,,SP-750M,"[74.99, 79.99, 107.99, 124.99]",ATX12V / EPS12V,750 Watts,96.99,thermaltake-power-supply-sp750m,750.0,2.0,0.12932
,,1,Power Supply,/product/6g7wrH/startech-power-supply-atx2power350,StarTech,,No,StarTech 350W ATX Power Supply,"+3.3V@22A, +5V@21A, +12V1@10A, +12V2@15A, -12V@0.8A, +5VSB@2.5A",,1,,ATX2POWER350,"[44.98, 40.46, 42.99, 49.13, 46.16, 39.45]",ATX12V,350 Watts,43.8616666667,startech-power-supply-atx2power350,350.0,,0.125319047619
&gt;=82%,80+ Bronze,1,Power Supply,/product/R6M323/seasonic-power-supply-ss500etbronze,SeaSonic,,No,SeaSonic 500W 80+ Bronze Certified ATX Power Supply,,,,,SS-500ET Bronze,"[64.99, 68.38, 78.29, 69.99]",ATX12V,500 Watts,70.4125,seasonic-power-supply-ss500etbronze,500.0,2.0,0.140825
82%,80+,1,Power Supply,/product/VPqdnQ/ocz-power-supply-ocz600mxsp,OCZ,,Semi,OCZ ModXStream Pro 600W 80+ Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@25A, +12V2@25A, -12V@0.3A, +5VSB@2.5A",1,1,,OCZ600MXSP,[],ATX12V / EPS12V,600 Watts,0.0,ocz-power-supply-ocz600mxsp,600.0,1.0,0.0
&gt; 90%,80+ Platinum,1,Power Supply,/product/3cdqqs/lepa-power-supply-p1375ma,LEPA,,Full,LEPA 1375W 80+ Platinum Certified Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.5A, +5Vsb@3A",8,,,P1375-MA,[],ATX12V / EPS12V,1375 Watts,0.0,lepa-power-supply-p1375ma,1375.0,5.0,0.0
,80+ Platinum,1,Power Supply,/product/yjtCmG/enermax-power-supply-epm1500egt,Enermax,,Full,Enermax Platimax 1500W 80+ Platinum Certified Fully-Modular ATX Power Supply,,4,,,EPM1500EGT,[],ATX12V / EPS12V,1500 Watts,0.0,enermax-power-supply-epm1500egt,1500.0,5.0,0.0
&lt; 90%,80+ Gold,1,Power Supply,/product/Nhh9TW/nzxt-power-supply-np1gm1200a,NZXT,HALE90 V2 1200W,Full,NZXT HALE90 V2 1200W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@100A, -12V@0.8A, +5VSB@4A",8,,,NP-1GM-1200A<br/>(or) NP-1GM-1200A-EU,[],ATX12V,1200 Watts,0.0,nzxt-power-supply-np1gm1200a,1200.0,4.0,0.0
&lt; 92%,80+ Gold,1,Power Supply,/product/ZMLypg/corsair-power-supply-rm550,Corsair,,Full,Corsair RM 550W 80+ Gold Certified Fully-Modular ATX Power Supply,,2,,,RM550<br/>(or) CP-9020053-UK<br/>(or) CP-9020053-NA<br/>(or) CP-9020053-EU,[119.99],ATX12V / EPS12V,550 Watts,119.99,corsair-power-supply-rm550,550.0,4.0,0.218163636364
&lt; 88%,80+ Bronze,1,Power Supply,/product/JWR48d/thermaltake-power-supply-tr500p,Thermaltake,,No,Thermaltake TR2 500W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@36A, -12V@0.5A, +5VSB@2.5A",1,1,,TR-500P,[],ATX12V / EPS12V,500 Watts,0.0,thermaltake-power-supply-tr500p,500.0,2.0,0.0
91%,80+ Silver,1,Power Supply,/product/PHyFf7/thermaltake-power-supply-tp1500m,Thermaltake,,Semi,Thermaltake Toughpower 1500W 80+ Silver Certified Semi-Modular ATX Power Supply,"+3.3V@40A, +5V@40A, +12V1@30A, +12V2@30A, +12V3@50A, +12V4@50A, -12V@0.5A, +5VSB@6A",8,,,TP-1500M,[],ATX12V / EPS12V,1500 Watts,0.0,thermaltake-power-supply-tp1500m,1500.0,3.0,0.0
80%,80+,1,Power Supply,/product/r2yFf7/thermaltake-power-supply-sp530p,Thermaltake,,No,Thermaltake Smart 530W 80+ Certified ATX Power Supply,"+5V@15A, +3.3V@24A, +12V@38A, -12V@0.3A, +5VSB@3.0A",2,,,SP-530P,[],ATX12V,530 Watts,0.0,thermaltake-power-supply-sp530p,530.0,1.0,0.0
,80+ Platinum,1,Power Supply,/product/jTGkcf/thermaltake-power-supply-tpg700m,Thermaltake,,Semi,Thermaltake Toughpower Grand 700W 80+ Platinum Certified Semi-Modular ATX Power Supply,"+3.3V@22A, +5V@22A, +12V@58A, -12V@0.5A, +5VSB@3A",4,,,TPG-700M,[],ATX12V / EPS12V,700 Watts,0.0,thermaltake-power-supply-tpg700m,700.0,5.0,0.0
,,1,Power Supply,/product/6Vzv6h/coolmax-power-supply-nw650b,CoolMax,,No,CoolMax 650W ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@16A, +12V2@16A, +12V3@16A, -12V@0.5A, +5VSB@2.5A",,2,,NW-650B,"[49.99, 54.99, 63.67]",ATX12V,650 Watts,56.2166666667,coolmax-power-supply-nw650b,650.0,,0.0864871794872
&gt; 90%,80+ Gold,1,Power Supply,/product/LxMFf7/corsair-power-supply-cmpsu850ax,Corsair,AX850,Full,Corsair Professional Gold 850W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@70A, -12V@0.5A, +5VSB@3A",4,,,CMPSU-850AX<br/>(or) CMPSU-850AXUK,[229.99],ATX12V / EPS12V,850 Watts,229.99,corsair-power-supply-cmpsu850ax,850.0,4.0,0.270576470588
,80+,1,Power Supply,/product/TNNypg/corsair-power-supply-cmpsu400cx,Corsair,CX400,No,Corsair Builder 400W 80+ Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@30A, -12V@0.8A, +5VSB@2.5A",,1,,CMPSU-400CX,[59.99],ATX12V,400 Watts,59.99,corsair-power-supply-cmpsu400cx,400.0,1.0,0.149975
&gt; 80%,80+,1,Power Supply,/product/MxMFf7/corsair-power-supply-cmpsu850tx,Corsair,TX850,No,Corsair Enthusiast 850W 80+ Certified ATX Power Supply,"+3.3V@30A, +5V30A, +12V@70A, -12V@0.8A, +5VSB@3A",4,,,CMPSU-850TX,[139.99],ATX12V / EPS12V,850 Watts,139.99,corsair-power-supply-cmpsu850tx,850.0,1.0,0.164694117647
,80+ Bronze,1,Power Supply,/product/ZKfp99/corsair-power-supply-cp9020065ww,Corsair,GS800 2013 Edition,No,Corsair GS Series 800W 80+ Bronze Certified ATX Power Supply,,4,,,CP-9020065-WW<br/>(or) CP-9020065-UK<br/>(or) CP-9020065-AU<br/>(or) CP-9020065-NA,[139.99],ATX,800 Watts,139.99,corsair-power-supply-cp9020065ww,800.0,2.0,0.1749875
,,1,Power Supply,/product/Rcdqqs/ultra-power-supply-lsp750,Ultra,,No,Ultra 750W ATX Power Supply,,,2,1,LSP750,[],ATX12V / EPS12V,750 Watts,0.0,ultra-power-supply-lsp750,750.0,,0.0
up to 78%,,1,Power Supply,/product/QRGj4D/raidmax-power-supply-rx500xt,Raidmax,,No,Raidmax XT 500W ATX Power Supply,"+3.3V@18A, +5V@17A, +12V1@36A, -12V@0.5A ,5VSB@2.5A",1,1,,RX-500XT,"[29.99, 29.99]",ATX12V / EPS12V,500 Watts,29.99,raidmax-power-supply-rx500xt,500.0,,0.05998
Up to 90%,80+ Gold,1,Power Supply,/product/Rkh9TW/xfx-power-supply-p1550bbefx,XFX,,Full,XFX XTR 550W 80+ Gold Certified Fully-Modular ATX Power Supply,,2,,,P1-550B-BEFX,[83.99],ATX12V / EPS12V,550 Watts,83.99,xfx-power-supply-p1550bbefx,550.0,4.0,0.152709090909
with up to 92%,80+ Platinum,0,Power Supply,/product/4YphP6/seasonic-power-supply-ss520fl2,SeaSonic,,Full,SeaSonic 520W 80+ Platinum Certified Fully-Modular Fanless ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@43A,-12@0.5A, +5Vsb@2.5A",2,,,SS-520FL2,"[119.99, 119.99]",ATX12V / EPS12V,520 Watts,119.99,seasonic-power-supply-ss520fl2,520.0,5.0,0.23075
up to 87.43%,80+ Bronze,1,Power Supply,/product/7rTmP6/raidmax-power-supply-rx600afb,Raidmax,,No,Raidmax Cobra 600W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@38A, -12V@0.5A ,5VSB@2.5A",2,,,RX-600AF-B,"[45.66, 55.99, 56.88, 49.99, 54.99]",ATX12V / EPS12V,600 Watts,52.702,raidmax-power-supply-rx600afb,600.0,2.0,0.0878366666667
&lt; 87%,80+ Bronze,1,Power Supply,/product/mWphP6/antec-power-supply-hcg620m,Antec,,Semi,Antec High Current Gamer 620W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+5V@24A, +3.3V@24A, +12V@48A, -12V@0.8A, +5VSB@2.5A",2,,,HCG-620M<br/>(or) HCG-620M GB,"[79.99, 83.47, 94.88, 83.47, 89.99, 101.99]",ATX12V / EPS12V,620 Watts,88.965,antec-power-supply-hcg620m,620.0,2.0,0.143491935484
,80+ Gold,1,Power Supply,/product/D3Z2FT/deepcool-power-supply-dq750st,Deepcool,,No,Deepcool 750W 80+ Gold Certified ATX Power Supply,,4,,,DQ750ST,[74.99],ATX,750 Watts,74.99,deepcool-power-supply-dq750st,750.0,4.0,0.0999866666667
,80+ Bronze,1,Power Supply,/product/y2FXsY/fractal-design-power-supply-fdpsuin3b650w,Fractal Design,,Semi,Fractal Design Integra M 650W 80+ Bronze Certified Semi-Modular ATX Power Supply,,2,,,FD-PSU-IN3B-650W,"[79.99, 86.3, 94.68]",ATX,650 Watts,86.99,fractal-design-power-supply-fdpsuin3b650w,650.0,2.0,0.133830769231
85%,80+ Bronze,1,Power Supply,/product/fntWGX/xfx-power-supply-p1600bxtfr,XFX,,No,XFX XT 600W 80+ Bronze Certified ATX Power Supply,"+12V@48A (up to 540W, 90% of 600W)&lt;br/&gt;+5V@20A (combined +3.3V &amp; +5V up to 110W)&lt;br/&gt;+3.3V@20A (combined +3.3V &amp; +5V up to 110W)&lt;br/&gt;-12V@0.3A&lt;br/&gt;+5Vsb@2.5A",2,,,P1-600B-XTFR,[],ATX12V,600 Watts,0.0,xfx-power-supply-p1600bxtfr,600.0,2.0,0.0
,,1,Power Supply,/product/rLW9TW/corsair-power-supply-cp9020052ww,Corsair,VS350,No,Corsair VS 350W ATX Power Supply,,1,,,CP-9020052-WW<br/>(or) CMPSU-VS350,[],ATX12V / EPS12V,350 Watts,0.0,corsair-power-supply-cp9020052ww,350.0,,0.0
up to 90.95%,80+ Gold,1,Power Supply,/product/83fp99/raidmax-power-supply-rx800gh,Raidmax,,Semi,Raidmax Vampire 800W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@20A, +12V1@35A, +12V2@35A, -12V@0.3A ,5VSB@3A",4,,,RX-800GH,"[83.99, 89.99, 89.99]",ATX12V / EPS12V,800 Watts,87.99,raidmax-power-supply-rx800gh,800.0,4.0,0.1099875
87%~90% at 20%~100% loading,80+ Gold,1,Power Supply,/product/vwNp99/silverstone-power-supply-st85fgs,Silverstone,,Full,Silverstone Strider Gold S 850W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@22A, +5V@25A, +12V1@70A, +5VSB@3.5A, -12V@0.3A",4,,,ST85F-GS<br/>(or) SST-ST85F-GS,"[144.79, 165.99]",ATX,850 Watts,155.39,silverstone-power-supply-st85fgs,850.0,4.0,0.182811764706
,80+ Gold,1,Power Supply,/product/vQjG3C/silverstone-power-supply-sstsx600g,Silverstone,SX600-G,Full,Silverstone 600W 80+ Gold Certified Fully-Modular SFX Power Supply,,2,,,SST-SX600-G<br/>(or) SX600-G,"[109.99, 117.99, 118.99, 118.99, 139.99, 139.99, 153.86]",SFX12V,600 Watts,128.542857143,silverstone-power-supply-sstsx600g,600.0,4.0,0.214238095238
,80+ Platinum,1,Power Supply,/product/Hgbkcf/silverstone-power-supply-st55fpt,Silverstone,,Full,Silverstone Strider Platinum 550W 80+ Platinum Certified Fully-Modular ATX Power Supply,,2,,,ST55F-PT<br/>(or) SST-ST55F-PT,[],ATX,550 Watts,0.0,silverstone-power-supply-st55fpt,550.0,5.0,0.0
,80+ Gold,1,Power Supply,/product/gYMFf7/seasonic-power-supply-s12g550,SeaSonic,,No,SeaSonic S12G 550W 80+ Gold Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@45A, -12V@0.3A, +5Vsb@2.5A",2,,,S12G-550,"[69.99, 79.99]",ATX12V / EPS12V,550 Watts,74.99,seasonic-power-supply-s12g550,550.0,4.0,0.136345454545
&gt; 80%,80+,1,Power Supply,/product/2MNp99/silverstone-power-supply-st50fes,Silverstone,,No,Silverstone Strider Essential 500W 80+ Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V@34A, -12V@0.3A, +5VSB@2.5A",1,1,,ST50F-ES<br/>(or) SST-ST50F-ES,"[59.99, 75.49]",ATX12V,500 Watts,67.74,silverstone-power-supply-st50fes,500.0,1.0,0.13548
,80+ Platinum,1,Power Supply,/product/xkkD4D/seasonic-power-supply-ss1050xp3,SeaSonic,,Full,SeaSonic 1050W 80+ Platinum Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@87A, -12V@0.5A, +5VSB@3A",8,,,SS-1050XP3<br/>(or) PLATINUM-1050,"[168.99, 169.99, 176.81, 169.99, 195.75]",ATX12V / EPS12V,1050 Watts,176.306,seasonic-power-supply-ss1050xp3,1050.0,5.0,0.16791047619
,80+ Bronze,1,Power Supply,/product/6ZkD4D/silverstone-power-supply-st60fesb,Silverstone,,No,Silverstone Strider Essential 600W 80+ Bronze Certified ATX Power Supply,,,1,,ST60F-ESB<br/>(or) SST-ST60F-ESB,"[64.97, 79.99, 75.32]",ATX12V / EPS12V,600 Watts,73.4266666667,silverstone-power-supply-st60fesb,600.0,2.0,0.122377777778
,80+ Bronze,1,Power Supply,/product/C998TW/be-quiet-power-supply-bn227,be quiet!,,No,be quiet! POWER 2 400W 80+ Bronze Certified SFX Power Supply,,1,,,BN227,[],SFX12V,400 Watts,0.0,be-quiet-power-supply-bn227,400.0,2.0,0.0
