Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
4,64-bit,No,Yes,Intel HD Graphics 2000,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 256KB,1 x 6MB,/product/ZyPfrH/intel-cpu-bx80623i52500,32.0,Intel,,,Core i5-2500,Intel Core i5-2500 3.3GHz Quad-Core Processor,3.3GHz,BX80623I52500,[281.66],LGA1155,95 Watts,95.0,3300.0,0.0,281.66,4,intel-cpu-bx80623i52500
2,64-bit,No,No,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/4XCwrH/intel-cpu-cm8064601482573,22.0,Intel,,,Pentium G3258,Intel Pentium G3258 3.2GHz Dual-Core OEM/Tray Processor,3.2GHz,CM8064601482573,[],LGA1150,53 Watts,53.0,3200.0,0.0,0.0,2,intel-cpu-cm8064601482573
4,64-bit,No,Yes,No,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/bHdqqs/amd-cpu-ad760kwohlbox,32.0,AMD,4.1GHz,,Athlon X4 760K,AMD Athlon X4 760K 3.8GHz Quad-Core Processor,3.8GHz,AD760KWOHLBOX,[],FM2,100 Watts,100.0,3800.0,4100.0,0.0,4,amd-cpu-ad760kwohlbox
6,64-bit,No,Yes,No,CPU,6 x 64KB Instruction<br/>6 x 64KB Data,6 x 512KB,1 x 6MB,/product/LQQypg/amd-cpu-hdt55tfbgrbox,45.0,AMD,,,Phenom II X6 1055T,AMD Phenom II X6 1055T 2.8GHz 6-Core Processor,2.8GHz,HDT55TFBGRBOX,[],AM3,125 Watts,125.0,2800.0,0.0,0.0,6,amd-cpu-hdt55tfbgrbox
4,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>4 x 64KB Data,4 x 512KB,1 x 6MB,/product/Rd7wrH/amd-cpu-hdz965fbgmbox,45.0,AMD,,,Phenom II X4 965 Black,AMD Phenom II X4 965 Black 3.4GHz Quad-Core Processor,3.4GHz,HDZ965FBGMBOX,[159.59],AM3/AM2+,125 Watts,125.0,3400.0,0.0,159.59,4,amd-cpu-hdz965fbgmbox
4,64-bit,Yes,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/tzrG3C/intel-cpu-bx80601920,45.0,Intel,,,Core i7-920,Intel Core i7-920 2.66GHz Quad-Core Processor,2.66GHz,BX80601920,[],LGA1366,130 Watts,130.0,2660.0,0.0,0.0,4,intel-cpu-bx80601920
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/dY3RsY/intel-cpu-bx80646e31220v3,22.0,Intel,3.5GHz,,Xeon E3-1220 V3,Intel Xeon E3-1220 V3 3.1GHz Quad-Core Processor,3.1GHz,BX80646E31220V3,"[201.46, 201.46, 204.99, 208.98, 201.46, 229.99]",LGA1150,80 Watts,80.0,3100.0,3500.0,208.056666667,4,intel-cpu-bx80646e31220v3
4,64-bit,No,Yes,Radeon HD 8570D,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,2 x 1MB,None,/product/fb7wrH/amd-cpu-ad660kwohlbox,32.0,AMD,,,A8-6600K,AMD A8-6600K 3.9GHz Quad-Core Processor,3.9GHz,AD660KWOHLBOX,[],FM2,100 Watts,100.0,3900.0,0.0,0.0,4,amd-cpu-ad660kwohlbox
4,64-bit,No,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/GRDwrH/intel-cpu-bx80646i54570s,22.0,Intel,,,Core i5-4570S,Intel Core i5-4570S 2.9GHz Quad-Core Processor,2.9GHz,BX80646I54570S,[194.99],LGA1150,65 Watts,65.0,2900.0,0.0,194.99,4,intel-cpu-bx80646i54570s
2,64-bit,Yes,Yes,Intel HD Graphics 4400,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/KDGkcf/intel-cpu-bx80646i34130,22.0,Intel,,,Core i3-4130,Intel Core i3-4130 3.4GHz Dual-Core Processor,3.4GHz,BX80646I34130,[144.45],LGA1150,54 Watts,54.0,3400.0,0.0,144.45,2,intel-cpu-bx80646i34130
