CAS Latency,Color,ECC,Heat Spreader,Kind,Link,Manufacturer,Model,Name,Part #,Price/GB,Prices,Registered,Size,Speed,Timing,Type,Voltage,avg,short_link,CAS,ppgb,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed,dimm,size_gb,mod_count,mod_size,voltage
15,Black,No,Yes,Memory,/product/9ycMnQ/corsair-memory-cmk64gx4m8a2400c14,Corsair,,Corsair Vengeance LPX 64GB (8 x 8GB) DDR4-2400 Memory,CMK64GX4M8A2400C14,$6.38,"[399.99, 419.99, 479.99]",No,64GB (8 x 8GB),DDR4-2400,15-15-15-36,288-pin DIMM,1.2V,433.323333333,corsair-memory-cmk64gx4m8a2400c14,15,6.38,True,,2400.0,2400,288,64.0,8.0,8.0,1.2
10,Black/Blue,No,Yes,Memory,/product/GHXfrH/gskill-memory-f32133c10q32gab,G.Skill,,G.Skill Ares Series 32GB (4 x 8GB) DDR3-2133 Memory,F3-2133C10Q-32GAB,$6.12,"[195.99, 200.97]",No,32GB (4 x 8GB),DDR3-2133,,240-pin DIMM,1.6V,198.48,gskill-memory-f32133c10q32gab,10,6.12,False,2133.0,,2133,240,32.0,4.0,8.0,1.6
10,Blue/Silver,No,Yes,Memory,/product/T9g323/kingston-memory-khx1600c10d3b18g,Kingston,,Kingston 8GB (1 x 8GB) DDR3-1600 Memory,KHX1600C10D3B1/8G,$10.70,[77.56],No,8GB (1 x 8GB),DDR3-1600,,240-pin DIMM,1.5V,77.56,kingston-memory-khx1600c10d3b18g,10,10.7,False,1600.0,,1600,240,8.0,1.0,8.0,1.5
10,Black/Red,No,Yes,Memory,/product/JT2kcf/gskill-memory-f32133c10d8gsr,G.Skill,,G.Skill Sniper Series 8GB (2 x 4GB) DDR3-2133 Memory,F3-2133C10D-8GSR,$6.87,"[54.99, 59.97, 61.03]",No,8GB (2 x 4GB),DDR3-2133,,240-pin DIMM,1.6V,58.6633333333,gskill-memory-f32133c10d8gsr,10,6.87,False,2133.0,,2133,240,8.0,2.0,4.0,1.6
11,Black/Red,No,Yes,Memory,/product/LTK7YJ/gskill-memory-f32133c11d16gzl,G.Skill,,G.Skill Ripjaws Z Series 16GB (2 x 8GB) DDR3-2133 Memory,F3-2133C11D-16GZL,$6.25,"[99.99, 104.97]",No,16GB (2 x 8GB),DDR3-2133,,240-pin DIMM,1.5V,102.48,gskill-memory-f32133c11d16gzl,11,6.25,False,2133.0,,2133,240,16.0,2.0,8.0,1.5
8,Black/Yellow,No,Yes,Memory,/product/ByYXsY/crucial-memory-blt2k4g3d1608et3lx0,Crucial,,Crucial Ballistix Tactical 8GB (2 x 4GB) DDR3-1600 Memory,BLT2K4G3D1608ET3LX0,$8.87,"[69.99, 69.99]",No,8GB (2 x 4GB),DDR3-1600,,240-pin DIMM,1.35V,69.99,crucial-memory-blt2k4g3d1608et3lx0,8,8.87,False,1600.0,,1600,240,8.0,2.0,4.0,1.35
9,Black/Yellow,No,Yes,Memory,/product/BnR48d/corsair-memory-cml16gx3m4a1600c9,Corsair,,Corsair Vengeance 16GB (4 x 4GB) DDR3-1600 Memory,CML16GX3M4A1600C9,$7.50,"[119.99, 112.99, 149.99]",No,16GB (4 x 4GB),DDR3-1600,9-9-9-24,240-pin DIMM,1.5V,127.656666667,corsair-memory-cml16gx3m4a1600c9,9,7.5,False,1600.0,,1600,240,16.0,4.0,4.0,1.5
15,Black/Blue,No,Yes,Memory,/product/FHx9TW/corsair-memory-cmk16gx4m4a2133c13b,Corsair,,Corsair Vengeance LPX 16GB (4 x 4GB) DDR4-2133 Memory,CMK16GX4M4A2133C13B,$7.21,"[107.22, 149.99]",No,16GB (4 x 4GB),DDR4-2133,15-15-15-36,288-pin DIMM,1.2V,128.605,corsair-memory-cmk16gx4m4a2133c13b,15,7.21,True,,2133.0,2133,288,16.0,4.0,4.0,1.2
11,Black/Yellow,No,No,Memory,/product/68Jkcf/corsair-memory-cmsx8gx3m2c2133c11,Corsair,,Corsair Vengeance Performance 8GB (2 x 4GB) DDR3-2133 Memory,CMSX8GX3M2C2133C11,$6.75,"[53.98, 58.31, 69.99]",No,8GB (2 x 4GB),DDR3-2133,11-11-11-31,204-pin SODIMM,1.35V,60.76,corsair-memory-cmsx8gx3m2c2133c11,11,6.75,False,2133.0,,2133,204,8.0,2.0,4.0,1.35
15,Black/Blue,No,No,Memory,/product/RmkwrH/gskill-memory-f42133c15s4grs,G.Skill,,G.Skill Ripjaws Series 4GB (1 x 4GB) DDR4-2133 Memory,F4-2133C15S-4GRS,$6.75,"[26.99, 29.95]",No,4GB (1 x 4GB),DDR4-2133,,260-pin SODIMM,1.2V,28.47,gskill-memory-f42133c15s4grs,15,6.75,True,,2133.0,2133,260,4.0,1.0,4.0,1.2
15,Black/Silver,No,Yes,Memory,/product/2GL7YJ/corsair-memory-cmd8gx4m2b3733c17,Corsair,,Corsair Dominator Platinum 8GB (2 x 4GB) DDR4-3733 Memory,CMD8GX4M2B3733C17,$17.50,"[139.99, 169.99]",No,8GB (2 x 4GB),DDR4-3733,15-15-15-36,288-pin DIMM,1.35V,154.99,corsair-memory-cmd8gx4m2b3733c17,15,17.5,True,,3733.0,3733,288,8.0,2.0,4.0,1.35
9,Black/Blue,No,Yes,Memory,/product/7qvRsY/gskill-memory-f32133c9q32gzh,G.Skill,,G.Skill Ripjaws Z Series 32GB (4 x 8GB) DDR3-2133 Memory,F3-2133C9Q-32GZH,$6.28,"[200.88, 205.97, 214.99]",No,32GB (4 x 8GB),DDR3-2133,,240-pin DIMM,1.6V,207.28,gskill-memory-f32133c9q32gzh,9,6.28,False,2133.0,,2133,240,32.0,4.0,8.0,1.6
11,Black/Red,No,Yes,Memory,/product/drx9TW/kingston-memory-hx324c11srk28,Kingston,,Kingston Savage 8GB (2 x 4GB) DDR3-2400 Memory,HX324C11SRK2/8,$10.12,"[80.99, 80.99, 87.99]",No,8GB (2 x 4GB),DDR3-2400,,240-pin DIMM,1.65V,83.3233333333,kingston-memory-hx324c11srk28,11,10.12,False,2400.0,,2400,240,8.0,2.0,4.0,1.65
