Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
8MB,500GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/bNV48d/samsung-internal-hard-drive-hm500ji,Samsung,,,"Samsung Spinpoint M7 500GB 2.5"" 5400RPM Internal Hard Drive",HM500JI,,,[],5400,,0.0,samsung-internal-hard-drive-hm500ji,500.0,5400.0,No,0.0,"2.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/nBNp99/mushkin-internal-hard-drive-mknssdps120gb3,Mushkin,,eMLC,"Mushkin ProSpec Series 120GB 2.5"" Solid State Drive",MKNSSDPS120GB-3,Yes,,[],,Sandforce SF-2581,0.0,mushkin-internal-hard-drive-mknssdps120gb3,120.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/9HkD4D/mushkin-internal-hard-drive-mknssdps240gb3,Mushkin,,eMLC,"Mushkin ProSpec Series 240GB 2.5"" Solid State Drive",MKNSSDPS240GB-3,Yes,,[],,Sandforce SF-2581,0.0,mushkin-internal-hard-drive-mknssdps240gb3,240.0,0.0,Yes,0.0,"2.5"""
N/A,512GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/YWkD4D/ocz-internal-hard-drive-ptl125sat3512g,OCZ,,MLC (asynchronous),"OCZ Petrol 512GB 2.5"" Solid State Drive",PTL1-25SAT3-512G,,,[],,Indilinx Everest 1,0.0,ocz-internal-hard-drive-ptl125sat3512g,512.0,0.0,Yes,0.0,"2.5"""
16MB,160GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/Xnzv6h/seagate-internal-hard-drive-st160lt007,Seagate,,,"Seagate Momentus Thin 160GB 2.5"" 7200RPM Internal Hard Drive",ST160LT007,,,[],7200,,0.0,seagate-internal-hard-drive-st160lt007,160.0,7200.0,No,0.0,"2.5"""
N/A,16GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/g7kD4D/wintec-internal-hard-drive-33121302,Wintec,,N/A,"Wintec FileMate 16GB 2.5"" Solid State Drive",33121302,,,[],,N/A,0.0,wintec-internal-hard-drive-33121302,16.0,0.0,Yes,0.0,"2.5"""
N/A,192GB,"2.5""",0.37,,SATA 1.5 Gb/s,Storage,/product/Tz4gXL/transcend-internal-hard-drive-ts192gssd25sm,Transcend,,MLC,"Transcend Transcend MLC 192GB 2.5"" Solid State Drive",TS192GSSD25S-M,,$2.69,[517.23],,N/A,517.23,transcend-internal-hard-drive-ts192gssd25sm,192.0,0.0,Yes,2.69,"2.5"""
16MB,250GB,"3.5""",,,SATA 6 Gb/s,Storage,/product/MTK7YJ/western-digital-internal-hard-drive-wd2500avkx,Western Digital,,,"Western Digital AV 250GB 3.5"" 7200RPM Internal Hard Drive",WD2500AVKX,,,[],7200,,0.0,western-digital-internal-hard-drive-wd2500avkx,250.0,7200.0,No,0.0,"3.5"""
64MB,300GB,"2.5""",1.72,,SAS 6 Gb/s,Storage,/product/QCNp99/hitachi-internal-hard-drive-huc109030css600,Hitachi,,,"Hitachi Ultrastar C10K900 300GB 2.5"" 10000RPM Internal Hard Drive",HUC109030CSS600,,$0.58,[166.25],10000,,166.25,hitachi-internal-hard-drive-huc109030css600,300.0,10000.0,No,0.58,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/DtnG3C/intel-internal-hard-drive-ssdsc2kw240h6,Intel,,,"Intel 540s 240GB 2.5"" Solid State Drive",SSDSC2KW240H6,,,[],,,0.0,intel-internal-hard-drive-ssdsc2kw240h6,240.0,0.0,Yes,0.0,"2.5"""
