Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Silver/Black,"13.19"" x 10.59"" x 7.87""",,,1,,,No,350 Watts,,3,,,Case,/product/B9zv6h/antec-case-nsk1380,Antec,,,"Micro ATX, Mini ITX",Antec NSK1380 MicroATX Mini Tower Case w/350W Power Supply,NSK1380,"[107.99, 130.98]",MicroATX Mini Tower,antec-case-nsk1380,"[13.19, 10.59, 7.87]",1099.298127,119.485,antec-case-nsk1380
Black,"18.90"" x 8.07"" x 18.50""",,,,,,Yes,No,4,4,,,Case,/product/qkTrxr/bitfenix-case-bfcaeg300kkwn1rp,BitFenix,"14.96""",Aegis Core (Black),"Micro ATX, Mini ITX",BitFenix Aegis Core (Black) MicroATX Mid Tower Case,BFC-AEG-300-KKWN1-RP,[],MicroATX Mid Tower,bitfenix-case-bfcaeg300kkwn1rp,"[18.90, 8.07, 18.50]",2821.6755,0.0,bitfenix-case-bfcaeg300kkwn1rp
Black,,,,2,,,Yes,No,,6,,,Case,/product/V8M323/antec-case-gx1000,Antec,"16.54""",,"ATX, Micro ATX, Mini ITX",Antec GX1000 ATX Mid Tower Case,GX1000,[],ATX Mid Tower,antec-case-gx1000,,0.0,0.0,antec-case-gx1000
Black/Silver,"22.40"" x 9.21"" x 20.51""",,,7,,,Yes,No,2,4,,,Case,/product/nF2kcf/silverstone-case-sstrv03bwa,Silverstone,"13.54""",RV03B-WA,"ATX, EATX, Micro ATX, Mini ITX",Silverstone RV03B-WA ATX Full Tower Case,SST-RV03B-WA<br/>(or) RV03B-WA,"[146.99, 149.99, 176.35, 149.99]",ATX Full Tower,silverstone-case-sstrv03bwa,"[22.40, 9.21, 20.51]",4231.29504,155.83,silverstone-case-sstrv03bwa
Black,"8.62"" x 22.99"" x 23.23""",,,2,,,Yes,No,,12,,,Case,/product/Gm9KHx/lian-li-case-pca76,Lian-Li,"14.17""",,"ATX, EATX, HPTX, Micro ATX, Mini ITX",Lian-Li PC-A76 ATX Full Tower Case,PC-A76,"[215.89, 209.99]",ATX Full Tower,lian-li-case-pca76,"[8.62, 22.99, 23.23]",4603.577374,212.94,lian-li-case-pca76
Black,"19.61"" x 8.27"" x 18.58""",,,3,,,Yes,No,,6,,,Case,/product/PCh9TW/lian-li-case-pc9f,Lian-Li,"11.22""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-9F ATX Mid Tower Case,PC-9F,"[129.99, 138.94]",ATX Mid Tower,lian-li-case-pc9f,"[19.61, 8.27, 18.58]",3013.205926,134.465,lian-li-case-pc9f
Black,"24.57"" x 9.57"" x 23.58""",,1,7,,,No,No,,7,,,Case,/product/8sNp99/thermaltake-case-vh6000bws,Thermaltake,,ArmorPlus,"ATX, EATX, Micro ATX, Mini ITX",Thermaltake ArmorPlus ATX Full Tower Case,VH6000BWS,[],ATX Full Tower,thermaltake-case-vh6000bws,"[24.57, 9.57, 23.58]",5544.480942,0.0,thermaltake-case-vh6000bws
Black,"3.66"" x 17.09"" x 14.88""",,,1,,,Yes,No,,2,,,Case,/product/gPBv6h/lian-li-case-pcc37b,Lian-Li,"8.27""",,"Micro ATX, Mini ITX",Lian-Li PC-C37B HTPC Case,PC-C37B,"[139.89, 156.0, 207.2, 187.99]",HTPC,lian-li-case-pcc37b,"[3.66, 17.09, 14.88]",930.735072,172.77,lian-li-case-pcc37b
Black,"6.54"" x 16.73"" x 20.87""",,,2,,,No,No,,4,,,Case,/product/fFNp99/lian-li-case-pcc32b,Lian-Li,"9.45""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-C32B HTPC Case,PC-C32B,[],HTPC,lian-li-case-pcc32b,"[6.54, 16.73, 20.87]",2283.474354,0.0,lian-li-case-pcc32b
Black,"8.50"" x 19.76"" x 25.28""",,,5,,,Yes,No,1,5,,,Case,/product/MHckcf/silverstone-case-sstrv02bewusb30,Silverstone,"11.97"" (304mm) With Drive Cages<br/>12.17"" (309mm) Without Drive Cages",RV02B-EW-USB3.0 (Black),"ATX, Micro ATX, Mini ITX, SSI CEB",Silverstone RV02B-EW-USB3.0 (Black) ATX Full Tower Case,SST-RV02B-EW-USB3.0<br/>(or) RV02B-EW-USB3.0,"[176.99, 204.03, 199.99]",ATX Full Tower,silverstone-case-sstrv02bewusb30,"[8.50, 19.76, 25.28]",4246.0288,193.67,silverstone-case-sstrv02bewusb30
